Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Country,Salary
3D Animator,0.5,132,1041,0.1268011527377521,Medical & Healthcare,Malaysia,487.5
Landscape Technician,0.2,139,844,0.1646919431279621,Leadership & Strategy,Laos,560.0
Bus Monitor,0.1,439,1774,0.2474633596392333,Construction,Cambodia,560.0
Development Engineer,0.2,6,46,0.1304347826086956,Data & IT,Laos,560.0
Channel Marketing Manager,0.3,238,1697,0.140247495580436,Communication & PR,Philippines,550.0
Assembly Worker,0.6,37,303,0.1221122112211221,Law Enforcement,Singapore,440.0
Edi Analyst,0.38,524,1437,0.3646485734168406,Administrative & Clerical,Thailand,541.0
Telecommunications,0.3,252,1697,0.1484973482616381,Medical & Healthcare,Philippines,550.0
Food Service Manager,0.25,222,1505,0.1475083056478405,Administrative & Clerical,Vietnam,556.25
Commercial Analyst,0.65,157,1039,0.1511068334937439,Construction,Singapore,410.0
Aerial Lineman,0.1,388,1594,0.2434127979924717,Communication & PR,Cambodia,560.0
Educational Assistant,0.25,232,1561,0.1486226777706598,Construction,Vietnam,556.25
Account Analyst,0.45,623,2143,0.2907139524031731,Law Enforcement,Malaysia,516.25
Para Educator,0.25,442,1289,0.3429014740108611,Leadership & Strategy,Vietnam,556.25
Telecommunications Manager,0.2,1175,4643,0.2530691363342666,Hospitality,Laos,560.0
Patient Financial Counselor,0.4,419,1484,0.2823450134770889,Construction,Thailand,530.0
Shipping Supervisor,0.45,191,1812,0.1054083885209713,Administrative & Clerical,Malaysia,516.25
Asset Protection Manager,0.5,183,1823,0.1003839824465167,Data & IT,Malaysia,487.5
Catering Chef,0.25,137,1079,0.1269694161260426,Administrative & Clerical,Vietnam,556.25
Resort Manager,0.3,225,1691,0.133057362507392,Leadership & Strategy,Philippines,550.0
Financial Manager,0.15,962,3573,0.2692415337251609,Medical & Healthcare,Myanmar,561.25
Deployment Engineer,0.28,203,1683,0.1206179441473559,Law Enforcement,Philippines,560.0
Office Assistant,0.2,215,1280,0.16796875,Sales & Marketing,Laos,560.0
Integration Engineer,0.35,525,1396,0.3760744985673352,Medical & Healthcare,Indonesia,541.25
Microbiology Technician,0.25,378,1223,0.3090760425183974,Law Enforcement,Vietnam,556.25
Board Operator,0.2,786,3443,0.2282892826023816,Communication & PR,Laos,560.0
House Cleaner,0.2,36,210,0.1714285714285714,Law Enforcement,Laos,560.0
Circuit Design Engineer,0.35,96,697,0.1377331420373027,Hospitality,Indonesia,541.25
Direct Support Professional,0.86,117,1018,0.1149312377210216,Law Enforcement,Singapore,284.0
Private Banker,0.1,763,3501,0.2179377320765495,Administrative & Clerical,Cambodia,560.0
Senior Web Developer,0.2,273,1673,0.1631799163179916,Construction,Laos,560.0
Service Engineer,0.45,157,1594,0.0984943538268506,Medical & Healthcare,Malaysia,516.25
Real Estate Attorney,0.2,145,1044,0.1388888888888889,Administrative & Clerical,Laos,560.0
Certified Nurse Assistant,0.45,457,1486,0.3075370121130552,Medical & Healthcare,Malaysia,516.25
Human Resources Generalist,0.25,371,2244,0.1653297682709447,Law Enforcement,Vietnam,556.25
Orthopedic Surgeon,0.12,393,1427,0.2754029432375613,Communication & PR,Myanmar,574.0
Mortgage Loan Closer,0.6,149,1193,0.1248952221290863,Law Enforcement,Singapore,440.0
Master Electrician,0.1,250,959,0.2606882168925964,Law Enforcement,Cambodia,560.0
Network Operations Manager,0.15,1053,4388,0.2399726526891522,Hospitality,Myanmar,561.25
Educator,0.2,166,1160,0.143103448275862,Communication & PR,Laos,560.0
Solar Installer,0.1,198,822,0.2408759124087591,Medical & Healthcare,Cambodia,560.0
Transportation Inspector,0.25,257,921,0.2790445168295331,Construction,Vietnam,556.25
Coach,0.1,946,3620,0.2613259668508287,Communication & PR,Cambodia,560.0
Referee,0.1,299,1137,0.2629727352682497,Supply Chain & Logistics,Cambodia,560.0
Safety Professional,0.35,574,1964,0.2922606924643584,Medical & Healthcare,Indonesia,541.25
Social Work Case Manager,0.25,199,1530,0.1300653594771242,Construction,Vietnam,556.25
Retail Manager,0.1,1009,4273,0.2361338637959279,Supply Chain & Logistics,Cambodia,560.0
Assistant Front Office Manager,0.25,213,1552,0.1372422680412371,Data & IT,Vietnam,556.25
Personal Assistant,0.15,1100,4371,0.2516586593456875,Leadership & Strategy,Myanmar,561.25
Library Associate,0.2,202,1461,0.1382614647501711,Supply Chain & Logistics,Laos,560.0
Patient Transporter,0.2,129,819,0.1575091575091575,Supply Chain & Logistics,Laos,560.0
Court Security Officer,0.4,339,1079,0.3141797961075069,Data & IT,Thailand,530.0
Customer Service,0.15,1254,4766,0.2631137221989089,Administrative & Clerical,Myanmar,561.25
Part Time Sales Associate,0.15,701,2858,0.2452764170748775,Hospitality,Myanmar,561.25
Property Management Assistant,0.3,182,1359,0.1339220014716703,Supply Chain & Logistics,Philippines,550.0
Court Officer,0.05,763,3196,0.2387359198998748,Communication & PR,Cambodia,580.0
Lab Technician,0.25,233,1706,0.1365767878077374,Construction,Vietnam,556.25
Customer Assistant,0.6,167,1340,0.1246268656716417,Sales & Marketing,Singapore,440.0
Marketing Automation Specialist,0.55,201,1931,0.1040911444847229,Leadership & Strategy,Malaysia,458.75
Kyc Analyst,0.45,545,1794,0.3037904124860646,Administrative & Clerical,Malaysia,516.25
Blackjack Dealer,0.5,53,368,0.1440217391304347,Hospitality,Malaysia,487.5
Pipeline,0.18,485,1928,0.2515560165975103,Law Enforcement,Laos,569.0
Field Service Engineer,0.35,425,1217,0.3492193919474117,Administrative & Clerical,Indonesia,541.25
Operations Coordinator,0.3,228,1468,0.1553133514986376,Hospitality,Philippines,550.0
Vaccinator,0.25,163,543,0.3001841620626151,Leadership & Strategy,Vietnam,556.25
Project Coordinator,0.4,683,2074,0.3293153326904532,Hospitality,Thailand,530.0
Drug And Alcohol Counselor,0.2,201,1360,0.1477941176470588,Supply Chain & Logistics,Laos,560.0
Court Reporter,0.05,875,3386,0.2584170112226816,Data & IT,Cambodia,580.0
Reconciliation Specialist,0.2,200,1425,0.1403508771929824,Hospitality,Laos,560.0
Sas Developer,0.75,133,932,0.1427038626609442,Hospitality,Singapore,350.0
Wrestling Coach,0.15,392,1693,0.2315416420555227,Sales & Marketing,Myanmar,561.25
Recreational Therapist,0.1,599,2411,0.2484446287847366,Medical & Healthcare,Cambodia,560.0
Volunteer Coordinator,0.35,787,2343,0.3358941527955612,Sales & Marketing,Indonesia,541.25
Pacu Rn,0.2,146,893,0.1634938409854423,Sales & Marketing,Laos,560.0
Executive Manager,0.15,995,3985,0.2496863237139272,Data & IT,Myanmar,561.25
Oral Surgery Assistant,0.3,92,473,0.1945031712473573,Sales & Marketing,Philippines,550.0
Program Analyst,0.35,970,3248,0.2986453201970443,Hospitality,Indonesia,541.25
Quality Control Specialist,0.25,708,2467,0.2869882448317795,Supply Chain & Logistics,Vietnam,556.25
Crime Analyst,0.4,637,1979,0.3218797372410308,Law Enforcement,Thailand,530.0
Parts Runner,0.25,205,681,0.3010279001468429,Law Enforcement,Vietnam,556.25
Digital Project Manager,0.8,231,1922,0.1201873048907388,Medical & Healthcare,Singapore,320.0
Refrigeration Technician,0.25,307,1052,0.2918250950570342,Supply Chain & Logistics,Vietnam,556.25
Band Director,0.45,292,1241,0.2352941176470588,Communication & PR,Malaysia,516.25
Pet Sitter,0.1,190,705,0.2695035460992908,Medical & Healthcare,Cambodia,560.0
Representative,0.35,261,1681,0.1552647233789411,Construction,Indonesia,541.25
Service Director,0.3,222,1846,0.1202600216684723,Construction,Philippines,550.0
Digital Court Reporter,0.25,200,1330,0.150375939849624,Communication & PR,Vietnam,556.25
Cinematographer,0.3,216,1549,0.1394448030987734,Supply Chain & Logistics,Philippines,550.0
Presenter,0.1,1017,4474,0.227313366115333,Construction,Cambodia,560.0
Apartment Leasing Agent,0.25,240,1595,0.1504702194357366,Law Enforcement,Vietnam,556.25
Instrumentation Technician,0.5,116,719,0.1613351877607788,Sales & Marketing,Malaysia,487.5
Hospital Housekeeping,0.65,8,33,0.2424242424242424,Hospitality,Singapore,410.0
Guest Services Manager,0.3,208,1764,0.1179138321995464,Sales & Marketing,Philippines,550.0
Waiter,0.1,538,2459,0.2187881252541683,Leadership & Strategy,Cambodia,560.0
Product Trainer,0.35,264,1946,0.1356628982528263,Hospitality,Indonesia,541.25
Proctor,0.2,134,1072,0.125,Hospitality,Laos,560.0
Dna Analyst,0.3,126,833,0.1512605042016806,Leadership & Strategy,Philippines,550.0
Special Education Aide,0.3,122,807,0.151177199504337,Communication & PR,Philippines,550.0
English Tutor,0.3,148,1156,0.1280276816608996,Data & IT,Philippines,550.0
Forklift Driver,0.35,160,648,0.2469135802469135,Medical & Healthcare,Indonesia,541.25
Technical Project Manager,0.8,205,1521,0.1347797501643655,Supply Chain & Logistics,Singapore,320.0
Underwriting Assistant,0.5,126,957,0.1316614420062695,Sales & Marketing,Malaysia,487.5
Assistant District Attorney,0.4,592,1989,0.2976370035193564,Hospitality,Thailand,530.0
Hotel Night Auditor,0.4,452,1301,0.3474250576479631,Communication & PR,Thailand,530.0
Boat Captain,0.2,303,1157,0.2618841832324978,Communication & PR,Laos,560.0
Surgeon,0.12,415,1711,0.2425482174167153,Communication & PR,Myanmar,574.0
Helicopter Mechanic,0.15,426,1804,0.2361419068736142,Sales & Marketing,Myanmar,561.25
Conservator,0.25,115,1029,0.1117589893100097,Construction,Vietnam,556.25
Insurance Underwriter,0.45,464,1553,0.2987765614938828,Hospitality,Malaysia,516.25
Ranch Manager,0.05,351,1359,0.2582781456953642,Law Enforcement,Cambodia,580.0
General Worker,0.6,19,409,0.0464547677261613,Supply Chain & Logistics,Singapore,440.0
Molecular Biologist,0.2,115,761,0.1511169513797634,Hospitality,Laos,560.0
Quality Manager,0.2,234,1897,0.1233526620980495,Leadership & Strategy,Laos,560.0
Education Coordinator,0.15,848,3590,0.2362116991643454,Sales & Marketing,Myanmar,561.25
Pianist,0.05,586,2410,0.2431535269709543,Communication & PR,Cambodia,580.0
Digital Marketing Consultant,0.55,238,1911,0.1245421245421245,Construction,Malaysia,458.75
Food Service Director,0.4,495,1647,0.3005464480874317,Construction,Thailand,530.0
Health Educator,0.2,709,2796,0.2535765379113018,Hospitality,Laos,560.0
Combo Welder,0.3,116,616,0.1883116883116883,Communication & PR,Philippines,550.0
Director Of Finance,0.35,287,1774,0.1617812852311161,Administrative & Clerical,Indonesia,541.25
New Home Sales Consultant,0.2,135,799,0.1689612015018773,Hospitality,Laos,560.0
Help Desk Administrator,0.48,599,2279,0.2628345765686705,Administrative & Clerical,Malaysia,499.0
Program Specialist,0.25,737,1916,0.3846555323590814,Law Enforcement,Vietnam,556.25
Fiber Optic Splicer,0.55,67,629,0.1065182829888712,Leadership & Strategy,Malaysia,458.75
Support Manager,0.2,1186,4632,0.2560449050086356,Construction,Laos,560.0
Chief Estimator,0.15,881,3492,0.252290950744559,Construction,Myanmar,561.25
Food Manager,0.3,180,1227,0.1466992665036675,Supply Chain & Logistics,Philippines,550.0
Test Proctor,0.4,463,1638,0.2826617826617826,Supply Chain & Logistics,Thailand,530.0
Merchandise Buyer,0.45,677,2544,0.2661163522012578,Data & IT,Malaysia,516.25
Clinical Data Analyst,0.65,220,1369,0.1607012417823228,Law Enforcement,Singapore,410.0
Loan Assistant,0.3,192,1290,0.1488372093023255,Supply Chain & Logistics,Philippines,550.0
Copywriter,0.1,1119,4811,0.2325919767200166,Law Enforcement,Cambodia,560.0
Analytics Manager,0.3,297,1788,0.1661073825503355,Communication & PR,Philippines,550.0
Netsuite Consultant,0.4,730,2157,0.3384330088085304,Supply Chain & Logistics,Thailand,530.0
Fitness Consultant,0.25,257,1864,0.1378755364806867,Communication & PR,Vietnam,556.25
Roofer,0.1,90,318,0.2830188679245283,Law Enforcement,Cambodia,560.0
Desk Receptionist,0.75,14,56,0.25,Medical & Healthcare,Singapore,350.0
Certified Medical Assistant,0.15,701,2826,0.2480537862703467,Administrative & Clerical,Myanmar,561.25
Business Intelligence Consultant,0.3,286,1622,0.1763255240443896,Leadership & Strategy,Philippines,550.0
Sleep Technician,0.3,82,546,0.1501831501831501,Medical & Healthcare,Philippines,550.0
Rpg Programmer,0.65,217,1279,0.1696637998436278,Supply Chain & Logistics,Singapore,410.0
Requirements Analyst,0.62,180,1595,0.1128526645768025,Sales & Marketing,Singapore,428.0
Tax Attorney,0.2,107,656,0.1631097560975609,Leadership & Strategy,Laos,560.0
Armed Security Officer,0.5,75,569,0.1318101933216168,Communication & PR,Malaysia,487.5
Waitress,0.1,538,2475,0.2173737373737373,Medical & Healthcare,Cambodia,560.0
Landscape Architect,0.55,89,1074,0.0828677839851024,Communication & PR,Malaysia,458.75
Cad Drafter,0.68,125,948,0.1318565400843881,Medical & Healthcare,Singapore,392.0
Server,0.4,206,666,0.3093093093093093,Medical & Healthcare,Thailand,530.0
Electrician Apprentice,0.1,459,1472,0.311820652173913,Administrative & Clerical,Cambodia,560.0
Optical Technician,0.2,194,1415,0.1371024734982332,Medical & Healthcare,Laos,560.0
Drafter,0.6,165,1622,0.1017262638717632,Hospitality,Singapore,440.0
Safety Director,0.5,69,540,0.1277777777777777,Sales & Marketing,Malaysia,487.5
Geotechnical Engineer,0.2,156,1150,0.1356521739130435,Sales & Marketing,Laos,560.0
Esthetician,0.05,777,3116,0.2493581514762516,Law Enforcement,Cambodia,580.0
Service Coordinator,0.3,227,1473,0.1541072640868974,Supply Chain & Logistics,Philippines,550.0
Sales Recruiter,0.4,606,1842,0.3289902280130293,Administrative & Clerical,Thailand,530.0
Patent Examiner,0.35,607,2133,0.2845757149554618,Sales & Marketing,Indonesia,541.25
Certified Nursing Assistant,0.15,438,1579,0.2773907536415453,Communication & PR,Myanmar,561.25
Call Center Representative,0.15,1274,4798,0.2655273030429345,Communication & PR,Myanmar,561.25
Cisco Network Engineer,0.4,95,623,0.1524879614767255,Sales & Marketing,Thailand,530.0
Civil Designer,0.3,174,1333,0.1305326331582895,Law Enforcement,Philippines,550.0
Benefits Specialist,0.25,217,1444,0.1502770083102493,Data & IT,Vietnam,556.25
Qa Lead,0.3,328,2375,0.1381052631578947,Data & IT,Philippines,550.0
Production Designer,0.2,239,2062,0.1159068865179437,Data & IT,Laos,560.0
Talent Acquisition,0.5,126,1096,0.114963503649635,Administrative & Clerical,Malaysia,487.5
Company Driver,0.45,122,552,0.2210144927536232,Supply Chain & Logistics,Malaysia,516.25
Recreation Director,0.1,758,3594,0.2109070673344463,Law Enforcement,Cambodia,560.0
Director Of Events,0.3,242,1342,0.180327868852459,Communication & PR,Philippines,550.0
Pediatric Occupational Therapist,0.2,541,2167,0.2496538994000923,Supply Chain & Logistics,Laos,560.0
Environment Artist,0.1,786,3918,0.2006125574272588,Hospitality,Cambodia,560.0
Loan Administrator,0.2,246,1744,0.1410550458715596,Supply Chain & Logistics,Laos,560.0
Erp Manager,0.2,200,1390,0.1438848920863309,Medical & Healthcare,Laos,560.0
Jailer,0.2,35,253,0.1383399209486166,Law Enforcement,Laos,560.0
Field Sales Manager,0.25,222,1454,0.1526822558459422,Data & IT,Vietnam,556.25
Electrical Superintendent,0.1,814,3497,0.2327709465255933,Communication & PR,Cambodia,560.0
Youth Counselor,0.3,160,1349,0.1186063750926612,Communication & PR,Philippines,550.0
Telemarketer,0.85,179,1281,0.1397345823575331,Sales & Marketing,Singapore,290.0
Inventory Analyst,0.45,806,2656,0.3034638554216867,Communication & PR,Malaysia,516.25
Paraeducator,0.3,122,873,0.1397479954180985,Sales & Marketing,Philippines,550.0
Clinical Nurse Manager,0.45,536,1924,0.2785862785862786,Data & IT,Malaysia,516.25
English Teacher,0.2,154,1083,0.1421975992613111,Medical & Healthcare,Laos,560.0
Chief Information Officer,0.05,1117,4514,0.24745237040319,Supply Chain & Logistics,Cambodia,580.0
Sports Producer,0.2,322,2379,0.1353509878100042,Leadership & Strategy,Laos,560.0
Party Chief,0.15,565,2335,0.2419700214132762,Construction,Myanmar,561.25
Distribution Supervisor,0.22,8,57,0.1403508771929824,Law Enforcement,Vietnam,570.5
Patient Liaison,0.2,800,3265,0.2450229709035222,Law Enforcement,Laos,560.0
Compliance Officer,0.92,194,1369,0.1417092768444119,Medical & Healthcare,Singapore,248.0
Tower Climber,0.3,53,389,0.1362467866323907,Data & IT,Philippines,550.0
Pediatric Hospitalist,0.12,454,1551,0.2927143778207608,Supply Chain & Logistics,Myanmar,574.0
Content Producer,0.57,216,1506,0.1434262948207171,Medical & Healthcare,Singapore,458.0
Freight Handler,0.15,210,998,0.2104208416833667,Administrative & Clerical,Myanmar,561.25
Strategist,0.35,926,3429,0.2700495771361913,Law Enforcement,Indonesia,541.25
Staff Writer,0.2,357,2162,0.1651248843663274,Medical & Healthcare,Laos,560.0
Junior Underwriter,0.5,123,932,0.1319742489270386,Data & IT,Malaysia,487.5
Allocation Analyst,0.74,155,1102,0.1406533575317604,Communication & PR,Singapore,356.0
Reporting Analyst,0.3,244,1914,0.1274817136886102,Medical & Healthcare,Philippines,550.0
Business Development Specialist,0.35,341,2193,0.1554947560419516,Supply Chain & Logistics,Indonesia,541.25
Transcriptionist,0.45,187,1764,0.1060090702947845,Construction,Malaysia,516.25
Receiving Manager,0.25,579,1629,0.3554327808471454,Law Enforcement,Vietnam,556.25
Secretary,0.35,617,2226,0.2771787960467206,Law Enforcement,Indonesia,541.25
Vfx Artist,0.3,240,1836,0.130718954248366,Construction,Philippines,550.0
Care Taker,0.15,465,1741,0.2670878805284319,Communication & PR,Myanmar,561.25
Planning Engineer,0.3,171,1213,0.1409727947238252,Hospitality,Philippines,550.0
Program Evaluator,0.5,114,964,0.1182572614107883,Supply Chain & Logistics,Malaysia,487.5
Production Coordinator,0.33,255,1739,0.1466359976998275,Medical & Healthcare,Indonesia,551.75
Control Engineer,0.48,473,1839,0.2572050027188689,Communication & PR,Malaysia,499.0
Healthcare Data Analyst,0.65,230,1609,0.1429459291485394,Sales & Marketing,Singapore,410.0
Licensed Insurance Agent,0.5,104,846,0.1229314420803782,Sales & Marketing,Malaysia,487.5
Hotel Housekeeping,0.3,133,1086,0.1224677716390423,Administrative & Clerical,Philippines,550.0
Yard Supervisor,0.2,171,1186,0.1441821247892074,Sales & Marketing,Laos,560.0
Marketing Strategist,0.3,310,2324,0.1333907056798623,Sales & Marketing,Philippines,550.0
Systems Engineer,0.55,144,1062,0.135593220338983,Hospitality,Malaysia,458.75
Preschool Assistant,0.1,666,2732,0.2437774524158125,Construction,Cambodia,560.0
Security Administrator,0.5,160,1233,0.129764801297648,Leadership & Strategy,Malaysia,487.5
Mechanical Project Engineer,0.25,463,1361,0.340191036002939,Supply Chain & Logistics,Vietnam,556.25
Planner,0.2,211,1889,0.1116993118051879,Hospitality,Laos,560.0
Travel Cna,0.2,141,1241,0.1136180499597099,Hospitality,Laos,560.0
Custodial Supervisor,0.25,171,1327,0.1288620949510173,Medical & Healthcare,Vietnam,556.25
Compositor,0.6,193,1696,0.1137971698113207,Medical & Healthcare,Singapore,440.0
Production Scheduler,0.25,520,1552,0.3350515463917525,Administrative & Clerical,Vietnam,556.25
Nuclear Medicine Technologist,0.25,321,1071,0.299719887955182,Supply Chain & Logistics,Vietnam,556.25
Freelance,0.65,182,1206,0.1509121061359867,Hospitality,Singapore,410.0
Neonatologist,0.12,404,1453,0.2780454232622161,Law Enforcement,Myanmar,574.0
Art Therapist,0.1,500,2315,0.2159827213822894,Communication & PR,Cambodia,560.0
Hotel Receptionist,0.45,381,1359,0.2803532008830022,Medical & Healthcare,Malaysia,516.25
Estate Planning Attorney,0.2,170,1227,0.1385493072534637,Law Enforcement,Laos,560.0
Knowledge Manager,0.35,272,1587,0.1713925645872716,Leadership & Strategy,Indonesia,541.25
Golf Professional,0.1,506,2537,0.1994481671265273,Leadership & Strategy,Cambodia,560.0
Marine Electrician,0.1,235,938,0.2505330490405117,Supply Chain & Logistics,Cambodia,560.0
Public Relations Coordinator,0.35,974,3481,0.2798046538351048,Leadership & Strategy,Indonesia,541.25
Associate Software Engineer,0.65,245,1753,0.1397604107244723,Communication & PR,Singapore,410.0
Sign Language Interpreter,0.25,288,895,0.3217877094972067,Medical & Healthcare,Vietnam,556.25
Accounts Payable Analyst,0.45,622,2145,0.2899766899766899,Sales & Marketing,Malaysia,516.25
Studio Manager,0.2,362,2587,0.1399304213374565,Supply Chain & Logistics,Laos,560.0
Forensic Accountant,0.65,157,996,0.1576305220883534,Communication & PR,Singapore,410.0
Trust Officer,0.25,426,1258,0.3386327503974563,Construction,Vietnam,556.25
Master Esthetician,0.05,429,1689,0.2539964476021314,Law Enforcement,Cambodia,580.0
Account Administrator,0.3,217,1313,0.1652703731911652,Sales & Marketing,Philippines,550.0
Admitting Clerk,0.3,198,1209,0.1637717121588089,Construction,Philippines,550.0
Trailer Mechanic,0.3,67,450,0.1488888888888888,Administrative & Clerical,Philippines,550.0
Pharmacist,0.2,133,1367,0.0972933430870519,Hospitality,Laos,560.0
Embroidery Machine Operator,0.3,122,669,0.1823617339312406,Law Enforcement,Philippines,550.0
Business Specialist,0.15,1247,5360,0.2326492537313433,Hospitality,Myanmar,561.25
Operations Manager,0.25,232,1461,0.1587953456536618,Communication & PR,Vietnam,556.25
Entertainer,0.15,718,2842,0.2526389866291344,Communication & PR,Myanmar,561.25
Logistics Planner,0.4,756,2500,0.3024,Data & IT,Thailand,530.0
Email Marketing Specialist,0.55,232,1857,0.1249326871297792,Administrative & Clerical,Malaysia,458.75
Product Developer,0.4,715,2633,0.2715533611849601,Construction,Thailand,530.0
Resident Assistant,0.05,512,2650,0.1932075471698113,Medical & Healthcare,Cambodia,580.0
Administrative Director,0.6,120,937,0.128068303094984,Data & IT,Singapore,440.0
Finance Analyst,0.65,168,1242,0.1352657004830917,Construction,Singapore,410.0
Trucker,0.45,28,185,0.1513513513513513,Construction,Malaysia,516.25
Curatorial Assistant,0.3,142,936,0.1517094017094017,Hospitality,Philippines,550.0
Linux System Engineer,0.55,143,1061,0.1347785108388313,Administrative & Clerical,Malaysia,458.75
Educational Consultant,0.5,162,1458,0.1111111111111111,Data & IT,Malaysia,487.5
Fire Inspector,0.3,136,1385,0.0981949458483754,Communication & PR,Philippines,550.0
Workforce Management Analyst,0.4,652,2166,0.3010156971375808,Sales & Marketing,Thailand,530.0
Finance Director,0.1,1094,4639,0.2358266867859452,Administrative & Clerical,Cambodia,560.0
Formulation Chemist,0.3,154,1440,0.1069444444444444,Construction,Philippines,550.0
Clinician,0.15,724,2766,0.2617498192335502,Supply Chain & Logistics,Myanmar,561.25
Maintenance Engineer,0.3,202,1552,0.1301546391752577,Supply Chain & Logistics,Philippines,550.0
School Aide,0.2,147,793,0.1853720050441362,Medical & Healthcare,Laos,560.0
Foreclosure Specialist,0.3,184,1263,0.1456848772763262,Medical & Healthcare,Philippines,550.0
Dental Receptionist,0.35,461,1651,0.2792247122955784,Sales & Marketing,Indonesia,541.25
Document Controller,0.5,202,1569,0.1287444231994901,Communication & PR,Malaysia,487.5
Commercial Pilot,0.2,2,0,inf,Supply Chain & Logistics,Laos,560.0
Supply Coordinator,0.6,156,1196,0.1304347826086956,Data & IT,Singapore,440.0
Journeyman Lineman,0.15,333,1190,0.2798319327731092,Medical & Healthcare,Myanmar,561.25
Video Engineer,0.25,711,2095,0.3393794749403341,Medical & Healthcare,Vietnam,556.25
Lot Attendant,0.45,230,837,0.2747909199522103,Data & IT,Malaysia,516.25
Scientific Writer,0.3,199,1779,0.1118605958403597,Construction,Philippines,550.0
Rehabilitation Nurse,0.05,454,1965,0.2310432569974554,Sales & Marketing,Cambodia,580.0
Senior Quality Engineer,0.3,189,1573,0.1201525746980292,Communication & PR,Philippines,550.0
Small Business Consultant,0.2,260,2020,0.1287128712871287,Supply Chain & Logistics,Laos,560.0
Product Coordinator,0.25,749,2026,0.3696939782823297,Data & IT,Vietnam,556.25
Java Software Engineer,0.6,110,796,0.1381909547738693,Construction,Singapore,440.0
Health Policy Analyst,0.15,858,3197,0.2683766030653738,Construction,Myanmar,561.25
Technical Sales,0.22,382,2377,0.1607067732435843,Administrative & Clerical,Vietnam,570.5
Motorcycle Technician,0.18,385,1932,0.1992753623188405,Leadership & Strategy,Laos,569.0
Electrical Design Engineer,0.42,420,1212,0.3465346534653465,Law Enforcement,Thailand,519.0
Director Of Digital Marketing,0.45,847,2963,0.2858589267634154,Administrative & Clerical,Malaysia,516.25
Vp Marketing,0.54,136,981,0.1386340468909276,Communication & PR,Malaysia,464.5
Mystery Shopper,0.7,99,671,0.1475409836065573,Supply Chain & Logistics,Singapore,380.0
Physician Recruiter,0.3,188,1178,0.1595925297113752,Leadership & Strategy,Philippines,550.0
Diversity Manager,0.15,851,3555,0.2393811533052039,Construction,Myanmar,561.25
Eeg Technician,0.3,111,669,0.1659192825112107,Administrative & Clerical,Philippines,550.0
Overnight Stocker,0.35,320,1114,0.2872531418312388,Construction,Indonesia,541.25
Car Driver,0.35,60,505,0.1188118811881188,Hospitality,Indonesia,541.25
Simulation Engineer,0.37,667,2285,0.2919037199124726,Law Enforcement,Thailand,546.5
Client Advisor,0.1,1087,4173,0.2604840642223819,Leadership & Strategy,Cambodia,560.0
Restaurant Supervisor,0.4,384,1285,0.2988326848249027,Leadership & Strategy,Thailand,530.0
Form Carpenter,0.25,176,1574,0.1118170266836086,Leadership & Strategy,Vietnam,556.25
Biostatistician,0.4,567,1874,0.3025613660618997,Hospitality,Thailand,530.0
Cardiothoracic Surgeon,0.3,79,530,0.1490566037735849,Supply Chain & Logistics,Philippines,550.0
Baseball Coach,0.05,954,3636,0.2623762376237624,Construction,Cambodia,580.0
Lumberjack,0.1,191,607,0.314662273476112,Medical & Healthcare,Cambodia,560.0
Intelligence,0.6,148,1439,0.1028492008339124,Data & IT,Singapore,440.0
Yard Driver,0.3,58,493,0.1176470588235294,Supply Chain & Logistics,Philippines,550.0
Network Support Technician,0.4,806,2527,0.3189552829442026,Medical & Healthcare,Thailand,530.0
It Project Manager,0.75,221,1840,0.1201086956521739,Administrative & Clerical,Singapore,350.0
Contracts Manager,0.55,130,985,0.1319796954314721,Construction,Malaysia,458.75
Database Specialist,0.6,159,1116,0.1424731182795699,Hospitality,Singapore,440.0
Toolmaker,0.25,213,794,0.2682619647355164,Data & IT,Vietnam,556.25
Welding Inspector,0.25,232,807,0.2874845105328377,Leadership & Strategy,Vietnam,556.25
Journeyman Plumber,0.2,114,774,0.1472868217054263,Administrative & Clerical,Laos,560.0
Career Counselor,0.1,909,3747,0.2425940752602081,Construction,Cambodia,560.0
Veterinary Technician,0.2,141,1168,0.1207191780821917,Communication & PR,Laos,560.0
Taxi Driver,0.35,93,383,0.2428198433420365,Law Enforcement,Indonesia,541.25
Wellness Director,0.2,181,1341,0.1349739000745712,Communication & PR,Laos,560.0
Manufacturing Engineer,0.3,224,1371,0.1633843909555069,Communication & PR,Philippines,550.0
Director Of Sustainability,0.15,834,3231,0.2581244196843082,Law Enforcement,Myanmar,561.25
Front Office Clerk,0.67,129,926,0.1393088552915766,Hospitality,Singapore,398.0
Bartender,0.14,343,1462,0.234610123119015,Communication & PR,Myanmar,565.5
Geophysicist,0.2,150,1174,0.1277683134582623,Sales & Marketing,Laos,560.0
Oracle Dba,0.35,961,3055,0.3145662847790507,Medical & Healthcare,Indonesia,541.25
Emergency Management,0.15,826,3271,0.2525221644756955,Sales & Marketing,Myanmar,561.25
Assistant Golf Professional,0.1,562,2674,0.2101720269259536,Data & IT,Cambodia,560.0
Organist,0.05,586,2397,0.2444722569879015,Hospitality,Cambodia,580.0
Legal Clerk,0.25,275,1582,0.1738305941845765,Administrative & Clerical,Vietnam,556.25
Network Security Engineer,0.55,142,1056,0.1344696969696969,Medical & Healthcare,Malaysia,458.75
